guest_id,nationality,home_city,home_country,guest_tier,first_seen_date,first_seen_brand,dietary_flags,preferred_language,lifetime_spend_aed,total_visits,brands_visited_count,last_visit_date,acquisition_channel,event_host_count,consent_status
G-100001,USA,New York,USA,Gold,2025-12-17,CE LA VI,halal,EN,95443,44,1,2026-04-20,Hotel partner,0,Full
G-100002,USA,Miami,USA,Standard,2025-04-05,CE LA VI,,EN,2181,1,1,2025-10-29,Direct,0,Full
G-100003,Italy,Rome,Italy,Standard,2025-08-17,Nammos,,IT,3216,1,1,2026-03-31,Direct,0,None
G-100004,Qatar,Doha,Qatar,Diamond,2025-10-11,Nammos,,AR,1135126,721,2,2026-04-07,Concierge,1,Full
G-100005,Saudi Arabia,Jeddah,Saudi Arabia,Gold,2025-03-07,Em Sherif,halal,AR,59377,30,1,2026-02-16,Direct,0,Partial
G-100006,Kuwait,Kuwait City,Kuwait,Standard,2025-09-23,Nammos,,AR,28401,10,1,2026-03-12,Concierge,0,Partial
G-100007,Singapore,Singapore,Singapore,Standard,2025-05-05,CE LA VI,,EN,13996,6,1,2026-02-06,Direct,0,None
G-100008,UK,London,UK,Gold,2025-02-04,Em Sherif,gluten-free,EN,76172,35,1,2025-12-19,Digital,0,Full
G-100009,France,Paris,France,Standard,2025-03-03,Nammos,,FR,14173,7,1,2025-05-30,Direct,0,None
G-100010,UK,London,UK,Standard,2024-09-24,Em Sherif,,EN,7569,4,1,2026-02-27,Digital,0,None
G-100011,Singapore,Singapore,Singapore,Standard,2024-02-18,CE LA VI,,EN,8704,5,1,2025-07-21,Hotel partner,0,Full
G-100012,India,Bangalore,India,Standard,2025-04-29,Nammos,halal,EN,26428,14,1,2026-03-08,Hotel partner,0,Full
G-100013,Saudi Arabia,Jeddah,Saudi Arabia,Standard,2024-07-22,Em Sherif,,AR,8941,6,1,2026-04-11,Concierge,0,Full
G-100014,UAE,Sharjah,UAE,Standard,2024-09-06,Nammos,,AR,8664,3,1,2026-02-09,Digital,0,Full
G-100015,USA,Los Angeles,USA,Standard,2025-12-22,Em Sherif,,EN,11920,6,1,2026-02-03,Hotel partner,0,Full
G-100016,USA,New York,USA,Standard,2025-10-02,Nammos,,EN,14561,7,1,2026-03-17,Digital,0,Full
G-100017,UK,London,UK,Gold,2024-04-01,AlphaMind,,EN,131843,89,4,2025-09-18,Direct,0,Full
G-100018,UK,Manchester,UK,Gold,2025-07-08,AlphaMind,,EN,149450,71,2,2025-12-05,Digital,0,Full
G-100019,USA,Miami,USA,Gold,2025-06-10,AlphaMind,,EN,93735,72,1,2026-01-14,Direct,0,Full
G-100020,India,Delhi,India,Platinum,2025-04-02,Em Sherif,,EN,422496,197,2,2025-12-20,Hotel partner,0,Full
G-100021,Saudi Arabia,Jeddah,Saudi Arabia,Standard,2024-06-12,AlphaMind,,AR,2260,1,1,2025-08-31,Concierge,0,Full
G-100022,UK,London,UK,Standard,2025-08-05,Nammos,pescatarian,EN,25344,10,2,2026-01-11,Hotel partner,0,None
G-100023,UAE,Sharjah,UAE,Standard,2025-11-27,Nammos,,AR,4997,2,1,2026-03-26,Hotel partner,0,Full
G-100024,Saudi Arabia,Jeddah,Saudi Arabia,Standard,2026-01-26,Em Sherif,,AR,25221,19,1,2026-04-01,Digital,0,Full
G-100025,UAE,Abu Dhabi,UAE,Diamond,2026-01-05,AlphaMind,,AR,4596500,2217,1,2026-02-15,Direct,0,Full
G-100026,Kuwait,Kuwait City,Kuwait,Standard,2025-12-16,CE LA VI,vegetarian,AR,26755,14,1,2026-02-28,Digital,0,Full
G-100027,India,Mumbai,India,Standard,2025-08-23,AlphaMind,vegetarian,EN,24462,9,1,2025-12-04,Referral,0,Full
G-100028,UAE,Dubai,UAE,Standard,2025-06-19,Nammos,gluten-free,AR,24269,15,1,2026-04-17,Direct,0,Full
G-100029,India,Delhi,India,Standard,2024-09-22,Nammos,,EN,2772,1,1,2026-01-26,Digital,0,Full
G-100030,UAE,Sharjah,UAE,Gold,2025-03-26,Em Sherif,,AR,76223,35,2,2026-02-22,Digital,0,Full
G-100031,USA,Miami,USA,Platinum,2025-07-04,AlphaMind,pescatarian,EN,748501,340,2,2025-12-17,Hotel partner,2,Full
G-100032,Kuwait,Kuwait City,Kuwait,Standard,2025-07-31,CE LA VI,,AR,6872,3,1,2026-02-16,Direct,0,Partial
G-100033,Saudi Arabia,Jeddah,Saudi Arabia,Gold,2025-06-12,AlphaMind,,AR,125522,85,1,2026-04-03,Direct,0,Partial
G-100034,India,Mumbai,India,Gold,2026-02-24,Nammos,,EN,87016,33,1,2026-04-19,Direct,0,Partial
G-100035,France,Nice,France,Standard,2024-07-31,CE LA VI,,FR,26793,10,1,2026-02-03,Hotel partner,0,Partial
G-100036,UK,London,UK,Gold,2025-06-16,Em Sherif,vegetarian,EN,97071,56,1,2025-11-14,Referral,0,Partial
G-100037,UK,Manchester,UK,Gold,2025-09-27,Nammos,vegetarian,EN,106519,43,2,2026-02-13,Direct,0,Full
G-100038,Qatar,Doha,Qatar,Platinum,2025-11-18,Nammos,,AR,249323,161,2,2026-03-12,Referral,1,Full
G-100039,UK,London,UK,Gold,2026-03-30,Nammos,gluten-free,EN,120417,46,2,2026-04-01,Concierge,0,Partial
G-100040,USA,New York,USA,Standard,2025-07-26,Em Sherif,,EN,24347,10,1,2025-11-09,Digital,0,None
G-100041,USA,Los Angeles,USA,Gold,2025-07-05,CE LA VI,,EN,51807,32,1,2026-02-24,Referral,0,Full
G-100042,Qatar,Doha,Qatar,Platinum,2025-05-05,AlphaMind,,AR,377474,168,1,2025-10-14,Digital,0,Partial
G-100043,Saudi Arabia,Riyadh,Saudi Arabia,Standard,2025-12-09,AlphaMind,,AR,15020,9,1,2026-03-20,Digital,0,Full
G-100044,France,Paris,France,Platinum,2025-09-02,Em Sherif,vegan,FR,772812,421,1,2026-01-01,Direct,1,Partial
G-100045,Russia,Moscow,Russia,Platinum,2025-05-09,Em Sherif,halal,RU,194821,87,1,2026-04-20,Concierge,0,Full
G-100046,UK,Manchester,UK,Standard,2024-04-09,Nammos,halal,EN,24629,11,1,2025-09-21,Hotel partner,0,Full
G-100047,Qatar,Doha,Qatar,Standard,2025-10-04,Em Sherif,gluten-free,AR,19089,10,1,2026-04-18,Direct,0,None
G-100048,Saudi Arabia,Jeddah,Saudi Arabia,Standard,2025-09-19,Nammos,,AR,28545,21,2,2026-01-08,Referral,0,Full
G-100049,France,Cannes,France,Platinum,2025-09-10,Nammos,halal,FR,308148,136,1,2026-03-02,Digital,0,Full
G-100050,USA,Los Angeles,USA,Standard,2025-12-05,Nammos,halal,EN,5347,2,1,2026-02-07,Direct,0,Full
G-100051,UK,Manchester,UK,Gold,2025-08-09,Nammos,"halal,gluten-free",EN,114962,81,2,2026-04-12,Digital,0,Full
G-100052,USA,Los Angeles,USA,Standard,2025-06-09,Nammos,,EN,29033,18,1,2025-10-03,Direct,0,Full
G-100053,UK,London,UK,Standard,2025-12-29,Nammos,,EN,17626,9,2,2026-03-07,Referral,0,Full
G-100054,UK,Manchester,UK,Standard,2025-04-18,Nammos,,EN,28883,21,1,2025-10-12,Direct,0,Partial
G-100055,UAE,Dubai,UAE,Diamond,2025-06-24,Em Sherif,,AR,2023289,1288,1,2025-12-02,Hotel partner,0,Full
G-100056,Singapore,Singapore,Singapore,Standard,2024-07-11,CE LA VI,,EN,3999,2,1,2025-12-29,Concierge,0,Partial
G-100057,Qatar,Doha,Qatar,Standard,2025-09-21,Em Sherif,,AR,14257,6,1,2025-11-29,Hotel partner,0,Partial
G-100058,UAE,Dubai,UAE,Gold,2024-05-08,AlphaMind,vegan,AR,110673,67,2,2026-04-02,Hotel partner,0,Full
