position_id,venue_id,role,seniority,criticality,open_date,days_open,status,blocks_opening
H-2026-0001,V-006,Executive Chef,Senior,Critical,2026-01-15,124,Open,Yes
H-2026-0002,V-002,Head Chef,Senior,High,2026-01-31,90,Open,No
H-2026-0003,V-029,Head Sommelier,Senior,High,2026-01-17,104,Open,No
H-2026-0004,V-029,Executive Chef,Senior,High,2026-03-21,41,Open,No
H-2026-0005,V-022,Head Sommelier,Senior,High,2026-02-14,76,Open,No
H-2026-0006,V-021,Events Manager,Senior,High,2026-03-29,33,Open,No
H-2026-0007,V-022,Director of Operations,Senior,High,2026-04-25,6,Open,No
H-2026-0008,V-028,Bar Manager,Mid,Medium,2026-02-28,62,Open,No
H-2026-0009,V-022,Server,Junior,Low,2026-02-09,81,Open,No
H-2026-0010,V-016,Sommelier,Mid,Medium,2025-12-06,146,Open,No
H-2026-0011,V-028,Server,Junior,Low,2026-01-31,90,Open,No
H-2026-0012,V-014,Sommelier,Mid,Medium,2026-03-21,41,Open,No
H-2026-0013,V-018,Server,Junior,Low,2025-12-12,140,Open,No
H-2026-0014,V-007,Reservations Manager,Mid,Medium,2026-04-25,6,Open,No
H-2026-0015,V-029,Events Manager,Senior,High,2025-11-14,168,Open,No
H-2026-0016,V-020,Events Manager,Senior,High,2026-01-31,90,Open,No
H-2026-0017,V-018,Sommelier,Mid,Medium,2026-03-04,58,Open,No
H-2026-0018,V-014,Sous Chef,Mid,Medium,2025-11-10,172,Open,No
H-2026-0019,V-028,Mixologist,Mid,Low,2025-11-28,154,Open,No
H-2026-0020,V-013,Finance Controller,Senior,High,2026-04-19,12,Open,No
H-2026-0021,V-007,Host,Junior,Low,2026-02-16,74,Open,No
H-2026-0022,V-030,Sous Chef,Mid,Medium,2026-04-22,9,Open,No
H-2026-0023,V-007,Events Manager,Senior,High,2026-04-07,24,Open,No
H-2026-0024,V-010,Marketing Manager,Mid,Medium,2026-01-01,120,Open,No
H-2026-0025,V-013,Floor Manager,Mid,Medium,2025-12-28,124,Open,No
H-2026-0026,V-023,Marketing Manager,Mid,Medium,2026-02-14,76,Open,No
H-2026-0027,V-021,Pastry Chef,Mid,Medium,2026-02-13,77,Open,No
H-2026-0028,V-019,Sous Chef,Mid,Medium,2026-03-19,43,Open,No
H-2026-0029,V-030,Host,Junior,Low,2026-03-09,53,Open,No
H-2026-0030,V-026,Pastry Chef,Mid,Medium,2026-03-13,49,Open,No
H-2026-0031,V-028,Head Chef,Senior,High,2026-02-01,89,Open,No
H-2026-0032,V-015,Bar Manager,Mid,Medium,2025-12-16,136,Open,No
H-2026-0033,V-002,Mixologist,Mid,Low,2026-02-24,66,Open,No
H-2026-0034,V-010,HR Manager,Mid,Medium,2026-02-03,87,Open,No
H-2026-0035,V-030,Floor Manager,Mid,Medium,2025-11-22,160,Open,No
H-2026-0036,V-006,Mixologist,Mid,Low,2026-01-06,115,Open,No
H-2026-0037,V-005,Bar Manager,Mid,Medium,2026-01-01,120,Open,No
H-2026-0038,V-029,Server,Junior,Low,2025-11-24,158,Open,No
H-2026-0039,V-028,Head Chef,Senior,High,2026-04-02,29,Open,No
H-2026-0040,V-030,Pastry Chef,Mid,Medium,2025-12-27,125,Open,No
H-2026-0041,V-014,Reservations Manager,Mid,Medium,2025-11-26,156,Open,No
H-2026-0042,V-023,Pastry Chef,Mid,Medium,2026-04-08,23,Open,No
H-2026-0043,V-016,Head Chef,Senior,High,2026-04-14,17,Open,No
H-2026-0044,V-013,Pastry Chef,Mid,Medium,2025-12-26,126,Open,No
H-2026-0045,V-005,Pastry Chef,Mid,Medium,2025-11-27,155,Open,No
H-2026-0046,V-015,Mixologist,Mid,Low,2026-03-30,32,Open,No
H-2026-0047,V-021,Floor Manager,Mid,Medium,2026-01-01,120,Open,No
H-2026-0048,V-026,Sommelier,Mid,Medium,2025-11-14,168,Open,No
