alert_id,severity,category,venue_id,headline,description,owner,raised_at,status
A-0001,Amber,Revenue,V-027,Ramp tracking 22% behind plan,Bar Du Port Yas Marina is 8 months post-opening; covers are 22% below ramp curve. Driver: lower repeat rate vs. Bar Du Port Dubai at same maturity.,Brand CEO — AlphaMind,2026-04-17,Open
A-0002,Red,Cost,V-011,Labor cost +8 pts above benchmark,Em Sherif Muscat labor cost % is 36% vs. portfolio benchmark of 28% for fine dining. Hiring inefficiency suspected. Action: Group Talent to audit.,Group Talent + Brand COO,2026-04-10,Open
A-0003,Amber,Guest,V-019,NPS down 14 points over 60 days,CE LA VI Taipei NPS has slid from 74 to 60 over the past 60 days. Cluster of complaints around service speed during dinner peak.,Brand CEO — CE LA VI,2026-04-24,Investigating
A-0004,Red,Vendor,V-002,Signature vendor quality declining,"Mykonos Local Producers Co. (VEN-012) quality score 3.8, OTD 78%. Blast radius: Nammos Mykonos, Nammos Hotel Mykonos, Nammos Cannes. Action: identify alternate sources before May 2026 season opening.",Group Procurement,2026-04-13,Open
A-0005,Red,Talent,V-006,Critical role open — blocks Maldives opening,Nammos Resort Maldives Executive Chef position open 120+ days. Opening date 1 April 2026 at risk. Group Talent escalation required.,Group Talent + Nammos H&R CEO,2026-01-01,Escalated
A-0006,Green,Opportunity,V-008,Cross-brand conversion accelerating,Em Sherif Harrods → Nammos Mayfair conversion rate up to 28% in last 90 days (vs. 19% trailing 12m). Suggest formalized concierge cross-referral protocol.,Group Marketing,2026-04-26,Open
A-0007,Green,Opportunity,V-001,Dior partnership extension revenue lift,Dior Dioriviera partnership lifting Nammos Dubai weekly revenue by avg +18%. Quantified uplift: AED 14.2M YTD. Evaluation: extend or replicate across Mykonos.,Group Strategy + Brand CEO,2026-04-21,Open
A-0008,Green,Cost,V-022,Occupancy below seasonal benchmark,Auto-generated alert from daily ops engine. Detail expansion available on venue drill-down.,Brand COO,2026-04-15,Open
A-0009,Amber,Cost,V-023,Occupancy below seasonal benchmark,Auto-generated alert from daily ops engine. Detail expansion available on venue drill-down.,Venue GM,2026-04-04,Investigating
A-0010,Amber,Revenue,V-027,Service speed complaint cluster,Auto-generated alert from daily ops engine. Detail expansion available on venue drill-down.,Brand COO,2026-04-06,Investigating
A-0011,Green,Revenue,V-029,Occupancy below seasonal benchmark,Auto-generated alert from daily ops engine. Detail expansion available on venue drill-down.,Group Operations,2026-04-06,Open
