interaction_id,guest_id,venue_id,interaction_date,interaction_type,category,note,captured_by
I-000001,G-101009,V-030,2025-08-19,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000002,G-103949,V-026,2025-12-30,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000003,G-104863,V-004,2024-10-26,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000004,G-103703,V-009,2024-03-26,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000005,G-101391,V-024,2025-06-04,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000006,G-103791,V-001,2025-11-25,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000007,G-103834,V-012,2026-01-01,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000008,G-104710,V-021,2025-07-12,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000009,G-102717,V-022,2024-11-23,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000010,G-102891,V-023,2025-01-29,Preference noted,Dietary,Allergic to truffle.,Chef
I-000011,G-103121,V-011,2025-04-16,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000012,G-103316,V-024,2025-12-23,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000013,G-104696,V-022,2024-04-12,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000014,G-104572,V-003,2025-07-08,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000015,G-104337,V-018,2024-12-12,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000016,G-100195,V-009,2026-02-13,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000017,G-100063,V-025,2024-09-21,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000018,G-104708,V-011,2025-07-28,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000019,G-102640,V-025,2025-09-05,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000020,G-102708,V-030,2025-01-30,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000021,G-102835,V-005,2024-08-03,Preference noted,Dietary,Allergic to truffle.,Chef
I-000022,G-100195,V-016,2024-03-17,Preference noted,Dietary,Allergic to truffle.,Chef
I-000023,G-101092,V-002,2026-01-10,Preference noted,Dietary,Allergic to truffle.,Chef
I-000024,G-101466,V-022,2024-08-01,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000025,G-101110,V-013,2026-03-05,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000026,G-104229,V-030,2025-10-15,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000027,G-102624,V-007,2025-05-19,Preference noted,Dietary,Allergic to truffle.,Chef
I-000028,G-104819,V-017,2024-11-02,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000029,G-101944,V-024,2024-09-26,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000030,G-104522,V-023,2025-06-21,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000031,G-102408,V-019,2026-04-30,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000032,G-102934,V-006,2025-02-10,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000033,G-102574,V-013,2026-01-30,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000034,G-100279,V-018,2025-07-02,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000035,G-100036,V-030,2024-05-29,Preference noted,Dietary,Allergic to truffle.,Chef
I-000036,G-101940,V-001,2025-08-23,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000037,G-104106,V-025,2024-06-18,Preference noted,Dietary,Allergic to truffle.,Chef
I-000038,G-104268,V-014,2025-01-09,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000039,G-103787,V-028,2024-05-10,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000040,G-103854,V-016,2025-02-12,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000041,G-102557,V-004,2026-01-30,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000042,G-100108,V-024,2025-10-20,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000043,G-104001,V-010,2026-03-11,Preference noted,Dietary,Allergic to truffle.,Chef
I-000044,G-103440,V-011,2024-06-30,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000045,G-101462,V-023,2025-11-11,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000046,G-104032,V-029,2024-09-15,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000047,G-100811,V-023,2025-05-17,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000048,G-104827,V-010,2025-07-31,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000049,G-104197,V-004,2024-11-05,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000050,G-103316,V-019,2025-10-02,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000051,G-101957,V-001,2025-07-18,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000052,G-104573,V-003,2026-01-20,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000053,G-102276,V-005,2025-04-07,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000054,G-100540,V-016,2025-06-06,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000055,G-100591,V-010,2025-06-20,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000056,G-100457,V-009,2024-03-18,Preference noted,Dietary,Allergic to truffle.,Chef
I-000057,G-102004,V-017,2024-08-30,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000058,G-100717,V-029,2026-01-16,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
