dish_id,venue_id,dish_name,price_aed,food_cost_pct,margin_aed,signature_flag,category
D-0001,V-001,Mediterranean Sea Bass Carpaccio,240,0.31,165.6,Yes,Dessert
D-0002,V-001,Wagyu Ribeye 400g,680,0.36,435.2,Yes,Main
D-0003,V-001,Lobster Linguine,320,0.34,211.2,Yes,Dessert
D-0004,V-001,Greek Octopus Carbonara,220,0.3,154.0,No,Main
D-0005,V-001,Truffle Pizza,280,0.33,187.6,No,Beverage
D-0006,V-001,Tuna Tartare,180,0.29,127.8,Yes,Main
D-0007,V-001,Spicy Crab Sushi,165,0.3,115.5,No,Beverage
D-0008,V-001,Prawn Tempura,145,0.3,101.5,No,Main
D-0009,V-001,Nammos Signature Salad,95,0.2,76.0,Yes,Dessert
D-0010,V-001,Greek Yogurt with Honey,65,0.18,53.3,No,Starter
D-0011,V-002,Mediterranean Sea Bass Carpaccio,240,0.31,165.6,Yes,Beverage
D-0012,V-002,Wagyu Ribeye 400g,680,0.36,435.2,Yes,Beverage
D-0013,V-002,Lobster Linguine,320,0.34,211.2,Yes,Beverage
D-0014,V-002,Greek Octopus Carbonara,220,0.3,154.0,No,Dessert
D-0015,V-002,Truffle Pizza,280,0.33,187.6,No,Main
D-0016,V-002,Tuna Tartare,180,0.29,127.8,Yes,Starter
D-0017,V-002,Spicy Crab Sushi,165,0.3,115.5,No,Main
D-0018,V-002,Prawn Tempura,145,0.3,101.5,No,Beverage
D-0019,V-002,Nammos Signature Salad,95,0.2,76.0,Yes,Main
D-0020,V-002,Greek Yogurt with Honey,65,0.18,53.3,No,Starter
D-0021,V-003,Mediterranean Sea Bass Carpaccio,240,0.31,165.6,Yes,Starter
D-0022,V-003,Wagyu Ribeye 400g,680,0.36,435.2,Yes,Beverage
D-0023,V-003,Lobster Linguine,320,0.34,211.2,Yes,Main
D-0024,V-003,Greek Octopus Carbonara,220,0.3,154.0,No,Dessert
D-0025,V-003,Truffle Pizza,280,0.33,187.6,No,Starter
D-0026,V-003,Tuna Tartare,180,0.29,127.8,Yes,Main
D-0027,V-003,Spicy Crab Sushi,165,0.3,115.5,No,Starter
D-0028,V-003,Prawn Tempura,145,0.3,101.5,No,Dessert
D-0029,V-003,Nammos Signature Salad,95,0.2,76.0,Yes,Dessert
D-0030,V-003,Greek Yogurt with Honey,65,0.18,53.3,No,Dessert
D-0031,V-004,Mediterranean Sea Bass Carpaccio,240,0.31,165.6,Yes,Main
D-0032,V-004,Wagyu Ribeye 400g,680,0.36,435.2,Yes,Dessert
D-0033,V-004,Lobster Linguine,320,0.34,211.2,Yes,Starter
D-0034,V-004,Greek Octopus Carbonara,220,0.3,154.0,No,Starter
D-0035,V-004,Truffle Pizza,280,0.33,187.6,No,Starter
D-0036,V-004,Tuna Tartare,180,0.29,127.8,Yes,Starter
D-0037,V-004,Spicy Crab Sushi,165,0.3,115.5,No,Starter
D-0038,V-004,Prawn Tempura,145,0.3,101.5,No,Dessert
D-0039,V-004,Nammos Signature Salad,95,0.2,76.0,Yes,Starter
D-0040,V-004,Greek Yogurt with Honey,65,0.18,53.3,No,Main
D-0041,V-005,Mediterranean Sea Bass Carpaccio,240,0.31,165.6,Yes,Main
D-0042,V-005,Wagyu Ribeye 400g,680,0.36,435.2,Yes,Starter
D-0043,V-005,Lobster Linguine,320,0.34,211.2,Yes,Main
D-0044,V-005,Greek Octopus Carbonara,220,0.3,154.0,No,Dessert
D-0045,V-005,Truffle Pizza,280,0.33,187.6,No,Beverage
D-0046,V-005,Tuna Tartare,180,0.29,127.8,Yes,Beverage
D-0047,V-005,Spicy Crab Sushi,165,0.3,115.5,No,Starter
D-0048,V-005,Prawn Tempura,145,0.3,101.5,No,Beverage
D-0049,V-005,Nammos Signature Salad,95,0.2,76.0,Yes,Dessert
D-0050,V-005,Greek Yogurt with Honey,65,0.18,53.3,No,Beverage
