vip_id,guest_id,category,sensitivity_level,notes,flagged_date
VIP-104254,G-104254,Global Celebrity,High,Group VIP — coordinate seating and service personally. Category: Global Celebrity.,2026-03-18
VIP-101335,G-101335,ADMO Investor,Maximum,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2024-04-23
VIP-101462,G-101462,ADMO Investor,Maximum,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2026-02-14
VIP-104633,G-104633,GCC Royal Family,Maximum,Group VIP — coordinate seating and service personally. Category: GCC Royal Family.,2024-12-18
VIP-102597,G-102597,ADMO Investor,Maximum,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2024-04-29
VIP-102903,G-102903,Global Celebrity,Maximum,Group VIP — coordinate seating and service personally. Category: Global Celebrity.,2024-07-18
VIP-104197,G-104197,Influencer (>5M),Maximum,Group VIP — coordinate seating and service personally. Category: Influencer (>5M).,2025-07-24
VIP-104718,G-104718,Influencer (>5M),High,Group VIP — coordinate seating and service personally. Category: Influencer (>5M).,2025-02-17
VIP-102201,G-102201,UAE Royal Family,Maximum,Group VIP — coordinate seating and service personally. Category: UAE Royal Family.,2026-02-25
VIP-103595,G-103595,ADMO Investor,Maximum,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2024-10-29
VIP-103445,G-103445,Global Celebrity,Maximum,Group VIP — coordinate seating and service personally. Category: Global Celebrity.,2024-03-11
VIP-102197,G-102197,Global Celebrity,Maximum,Group VIP — coordinate seating and service personally. Category: Global Celebrity.,2025-06-01
VIP-101556,G-101556,F&B Press / Critic,High,Group VIP — coordinate seating and service personally. Category: F&B Press / Critic.,2025-05-19
VIP-101430,G-101430,ADMO Investor,Maximum,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2025-02-21
VIP-104897,G-104897,Board Member,Maximum,Group VIP — coordinate seating and service personally. Category: Board Member.,2025-11-29
VIP-101397,G-101397,Global Celebrity,Maximum,Group VIP — coordinate seating and service personally. Category: Global Celebrity.,2025-07-22
VIP-102244,G-102244,ADMO Investor,High,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2024-09-03
VIP-103011,G-103011,ADMO Investor,Maximum,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2025-03-14
VIP-100382,G-100382,UAE Royal Family,Maximum,Group VIP — coordinate seating and service personally. Category: UAE Royal Family.,2025-10-05
VIP-101930,G-101930,Global Celebrity,Maximum,Group VIP — coordinate seating and service personally. Category: Global Celebrity.,2025-05-27
VIP-101918,G-101918,F&B Press / Critic,High,Group VIP — coordinate seating and service personally. Category: F&B Press / Critic.,2024-09-12
VIP-103317,G-103317,Board Member,Maximum,Group VIP — coordinate seating and service personally. Category: Board Member.,2024-07-08
VIP-103509,G-103509,Influencer (>5M),Maximum,Group VIP — coordinate seating and service personally. Category: Influencer (>5M).,2025-07-15
VIP-101110,G-101110,Board Member,High,Group VIP — coordinate seating and service personally. Category: Board Member.,2024-09-30
VIP-104893,G-104893,Influencer (>5M),Maximum,Group VIP — coordinate seating and service personally. Category: Influencer (>5M).,2024-09-27
VIP-102072,G-102072,F&B Press / Critic,Maximum,Group VIP — coordinate seating and service personally. Category: F&B Press / Critic.,2024-12-28
VIP-102033,G-102033,ADMO Investor,Maximum,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2024-11-12
VIP-100095,G-100095,GCC Royal Family,Maximum,Group VIP — coordinate seating and service personally. Category: GCC Royal Family.,2024-09-01
VIP-103977,G-103977,ADMO Investor,Maximum,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2025-04-13
VIP-104647,G-104647,ADMO Investor,High,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2026-01-14
VIP-104903,G-104903,Global Celebrity,High,Group VIP — coordinate seating and service personally. Category: Global Celebrity.,2026-03-10
VIP-100855,G-100855,Influencer (>5M),High,Group VIP — coordinate seating and service personally. Category: Influencer (>5M).,2024-11-25
VIP-103609,G-103609,Influencer (>5M),Maximum,Group VIP — coordinate seating and service personally. Category: Influencer (>5M).,2025-05-15
VIP-104034,G-104034,UAE Royal Family,Maximum,Group VIP — coordinate seating and service personally. Category: UAE Royal Family.,2024-10-23
VIP-104826,G-104826,Influencer (>5M),Maximum,Group VIP — coordinate seating and service personally. Category: Influencer (>5M).,2025-12-14
VIP-104243,G-104243,Global Celebrity,High,Group VIP — coordinate seating and service personally. Category: Global Celebrity.,2024-12-16
VIP-103639,G-103639,F&B Press / Critic,High,Group VIP — coordinate seating and service personally. Category: F&B Press / Critic.,2024-10-16
VIP-101935,G-101935,ADMO Investor,High,Group VIP — coordinate seating and service personally. Category: ADMO Investor.,2025-06-23
VIP-103028,G-103028,UAE Royal Family,Maximum,Group VIP — coordinate seating and service personally. Category: UAE Royal Family.,2024-05-18
VIP-103934,G-103934,UAE Royal Family,Maximum,Group VIP — coordinate seating and service personally. Category: UAE Royal Family.,2025-08-29
