reservation_id,venue_id,reservation_date,time_slot,guest_id,guest_tier,party_size,occasion,special_requests,status
R-20260503-00001,V-001,2026-05-03,Dinner,G-100127,Standard,7,,Window seat,Confirmed
R-20260514-00002,V-001,2026-05-14,Dinner,G-103180,Gold,10,,Wine pairing,Confirmed
R-20260531-00003,V-001,2026-05-31,Lunch,G-101599,Gold,7,,,Confirmed
R-20260527-00004,V-001,2026-05-27,Dinner,G-102915,Standard,6,Birthday,,Confirmed
R-20260519-00005,V-001,2026-05-19,Lunch,G-102209,Standard,5,,Birthday cake,Deposit paid
R-20260527-00006,V-001,2026-05-27,Late night,G-103963,Platinum,6,,,Confirmed
R-20260529-00007,V-001,2026-05-29,Dinner,G-102081,Gold,2,,,Confirmed
R-20260527-00008,V-001,2026-05-27,Lunch,G-101698,Standard,6,Birthday,Quiet table,Waitlist
R-20260522-00009,V-001,2026-05-22,Late night,G-103027,Standard,8,,Window seat,Confirmed
R-20260517-00010,V-001,2026-05-17,Lunch,G-104715,Standard,9,,,Confirmed
R-20260510-00011,V-001,2026-05-10,Late night,G-104676,Standard,6,,,Confirmed
R-20260519-00012,V-001,2026-05-19,Lunch,G-100241,Standard,7,,Window seat,Confirmed
R-20260509-00013,V-001,2026-05-09,Dinner,G-101395,Gold,7,,Quiet table,Confirmed
R-20260526-00014,V-001,2026-05-26,Dinner,G-101635,Standard,6,,Birthday cake,Confirmed
R-20260513-00015,V-001,2026-05-13,Late night,G-102083,Gold,4,,Quiet table,Deposit paid
R-20260512-00016,V-001,2026-05-12,Late night,G-101417,Gold,4,,,Deposit paid
R-20260511-00017,V-001,2026-05-11,Dinner,G-100638,Platinum,5,,Allergy: shellfish,Confirmed
R-20260514-00018,V-001,2026-05-14,Late night,G-100538,Platinum,11,,Window seat,Deposit paid
R-20260506-00019,V-001,2026-05-06,Lunch,G-102145,Standard,3,Anniversary,,Confirmed
R-20260510-00020,V-001,2026-05-10,Late night,G-103339,Standard,7,,Wine pairing,Confirmed
R-20260507-00021,V-001,2026-05-07,Lunch,G-102570,Standard,4,,Wine pairing,Confirmed
R-20260523-00022,V-001,2026-05-23,Dinner,G-102698,Standard,4,,,Confirmed
R-20260530-00023,V-001,2026-05-30,Dinner,G-104954,Gold,5,,Quiet table,Confirmed
R-20260507-00024,V-001,2026-05-07,Dinner,G-103787,Gold,4,,,Confirmed
R-20260522-00025,V-001,2026-05-22,Late night,G-103571,Standard,3,,Wine pairing,Deposit paid
