date,venue_id,covers_total,revenue_total_aed,food_revenue_aed,beverage_revenue_aed,food_cost_pct,labor_cost_pct,occupancy_pct,nps_score,events_count,events_revenue_aed,avg_satisfaction
2024-12-02,V-001,283,530821.79,221411.44,309410.36,0.2838,0.2214,0.5615,34,0,0.0,8.22
2025-08-02,V-001,352,721405.23,313184.44,408220.73,0.2761,0.203,0.6984,26,0,0.0,7.85
2025-09-28,V-001,264,675705.1,288974.92,386730.15,0.2971,0.2288,0.5238,27,1,13176.82,7.86
2025-03-31,V-001,329,478518.85,201999.97,276518.88,0.2722,0.2157,0.6528,30,2,21899.36,8.0
2025-08-09,V-001,283,610623.18,253619.23,357004.0,0.2936,0.2415,0.5615,19,1,37087.25,7.46
2026-04-28,V-001,334,526135.17,222444.66,303690.53,0.2975,0.2079,0.6627,30,1,15203.11,8.02
2025-03-17,V-001,379,583489.99,244882.77,338607.18,0.303,0.2323,0.752,27,0,0.0,7.88
2025-05-31,V-001,289,991491.17,418911.23,572579.93,0.2686,0.2022,0.5734,28,1,30136.57,7.93
2024-12-09,V-001,297,821670.66,341670.86,479999.78,0.2756,0.2019,0.5893,27,0,0.0,7.86
2025-02-24,V-001,311,559940.73,242096.31,317844.45,0.2768,0.2319,0.6171,20,2,28511.1,7.55
2025-08-31,V-001,269,453627.23,195835.38,257791.84,0.3016,0.2439,0.5337,28,1,8497.04,7.92
2026-02-23,V-001,311,615221.4,253924.83,361296.57,0.2766,0.2346,0.6171,21,1,7624.64,7.56
2025-09-19,V-001,325,1032307.8,429293.38,603014.43,0.284,0.2036,0.6448,25,2,75157.92,7.77
2025-10-02,V-001,323,732342.42,306972.27,425370.14,0.2748,0.245,0.6409,30,1,8315.95,8.04
2024-11-21,V-001,308,825476.72,338444.85,487031.89,0.2853,0.2202,0.6111,26,2,29553.26,7.84
2025-07-16,V-001,331,392245.21,161572.27,230672.94,0.3036,0.2389,0.6567,33,0,0.0,8.15
2026-04-12,V-001,283,722576.44,304444.42,418132.02,0.2636,0.2211,0.5615,28,1,12942.24,7.9
2025-05-28,V-001,290,506192.66,209357.75,296834.87,0.2904,0.248,0.5754,32,0,0.0,8.15
2025-09-25,V-001,326,744008.45,313277.87,430730.61,0.2842,0.2455,0.6468,27,2,30064.06,7.85
2026-01-03,V-001,337,1301196.79,552765.7,748431.09,0.2701,0.2405,0.6687,24,0,0.0,7.72
2025-10-30,V-001,307,685728.88,281848.16,403880.77,0.2935,0.2294,0.6091,26,1,16057.72,7.81
2025-09-12,V-001,286,878060.41,368994.22,509066.17,0.2759,0.2384,0.5675,27,1,18598.07,7.86
